Vowel	Dur	F1	F2	SE
O	40	-0.768	-1.479	1.4
a	52	0.373	-0.782	2
oh	190	0.034	-1.409	3
Ia	49	-1.577	0.343	0.1
eh	320	0.062	0.94	0.9
aI	59	-0.169	0.474	1.3
i	58	-1.179	1.716	0.4
eh	135	0.272	0.389	2.4
E	37	-0.696	0.223	2.3
a	79	1.189	-0.033	6.5
aI	61	-0.024	-0.0003	4
oR	87	-0.212	-0.444	4.3
O	48	-0.674	-1.621	2.6
A	65	0.503	-0.883	3.6
oh	185	0.25	-1.526	4.3
Ia	79	0.626	0.338	0.6
eh	574	0.366	0.771	2.2
a	55	0.265	0.425	2.7
i	53	-0.414	1.384	2.2
a	89	-0.27	1.187	2.6
i	41	-0.876	1.514	1.1
e	46	-0.356	-0.583	2.7
aI	125	0.351	-0.107	5.4
E	47	-1.577	-0.752	0.1
aU	99	0.308	-1.417	4.7
a	51	0.922	-1.177	4
A	89	0.994	-0.349	3.8
a	132	1.73	-0.48	5.1
E	67	-0.681	0.234	1.9
a	142	1.138	-1.142	3.1
aR	109	0.293	0.316	2.7
eh	448	0.2	0.73	0.6
eh	66	0.062	1.487	2.3
a	41	0.705	-0.297	2.9
U	38	-1.021	-1.267	0.6
a	71	1.153	-0.935	4.4
U	35	-1.389	0.215	0.2
e	60	-0.92	0.782	2.6
a	196	0.351	-0.463	1.5
A	38	-0.27	-0.496	0.9
o	81	-0.985	-1.659	1.3
Ia	186	-1.244	1.024	0.5
i	73	-1.165	1.607	1.3
a	64	0.106	1.127	1.7
i	83	-0.912	1.738	1.1
e	35	-0.551	0.204	2.5
aI	105	0.279	0.049	4
a	55	0.568	-0.466	3
o	37	-0.732	-1.3	1.1
Ia	91	-1.569	1.108	0.2
U	31	-1.006	-1.349	0.7
a	67	1.543	-1.074	8.1
U	30	-1.042	-0.014	1.4
I	32	-1.49	0.762	0.1
eI	83	-0.891	0.152	0.7
U	53	-1.447	-0.619	0.2
a	121	0.553	-0.126	1.6
a	34	-0.522	-0.27	1.1
I	26	-1.367	1.16	0.2
o	55	-0.956	-1.746	0.8
Ia	196	-1.187	1.065	1
eh	290	0.438	0.733	1.9
O	46	-0.66	0.316	0.5
e	44	-0.688	0.359	2.5
i	102	-1.374	-0.365	0.2
E	59	-0.985	0.452	0.3
aU	112	0.178	-1.114	4.4
U	58	-0.833	-1.58	2.2
aU	210	1.247	-1.52	3.3
aI	59	-0.739	0.822	1.5
e	40	-0.544	-0.548	2.7
aI	79	0.207	0.22	4.6
I	42	-1.475	0.874	0.2
eh	257	0.438	1.106	2.3
a	87	1.348	-0.245	2.9
o	40	-0.826	-1.73	2.5
Ia	97	0.358	0.114	4.2
eh	132	0.452	0.844	1.9
aI	88	1.304	0.517	1.7
aI	65	0.546	-0.439	4
A	55	1.369	-0.749	7
a	278	1.449	-0.689	4.6
U	25	-1.042	-1.346	0.5
E	51	-0.79	0.438	0.7
E	51	-0.963	0.825	0.5
A	101	0.279	0.438	2.2
i	88	-1.901	1.321	0.2
A	48	-0.811	0.711	0.8
E	31	-0.963	0.267	0.8
E	35	-1.302	0.967	0.4
A	49	-0.501	0.264	1.6
i	32	-1.302	0.615	0.4
A	63	-0.031	-1.068	2.6
E	83	-0.674	0.408	1.6
aU	272	1.312	-1.128	3.7
e	32	-0.775	0.095	1
eh	156	1.016	0.381	3.5
aI	77	0.221	-0.393	2.6
A	41	0.539	-1.177	3.4
a	59	0.2	-1.215	1.4
e?	32	-0.609	-1.414	1.3
A	70	-0.096	-0.199	2.9
oh	65	0.12	-1.117	3
I	42	-1.252	0.694	0.7
U	32	-1.338	-0.891	0.3
A	61	0.005	-0.376	2.3
iU	60	-1.064	-0.561	0.5
aU	101	0.192	-1.542	3.6
A	88	0.315	-0.986	2.8
A	40	-0.609	0.027	3.4
uA	173	-1.504	-2.417	1.1
i	55	-1.013	0.558	0.6
eh	178	-1.237	0.051	0.3
A	47	-0.197	0.011	0.8
eh	66	-0.089	0.599	0.8
A	87	0.07	-0.649	1.6
oI	156	-1.151	-1.052	0.4
a	66	-0.84	-0.077	1
i	94	-1.158	1.008	0.4
eh	142	0.669	1.005	2.5
aI	60	-0.197	0.259	2.6
e	76	-0.212	0.754	2.5
oh	43	0.077	-1.537	3.9
A	51	-0.595	-0.48	2.8
I	76	-1.475	1.465	0.2
Ioh	132	-0.457	-1.656	1.7
I	37	-1.634	0.703	0.1
iE	152	-1.114	1.035	1
eI	286	-1.042	1.405	0.8
A	91	1.326	0.433	0.5
aI	65	0.026	0.659	1.1
eh	109	1.095	0.261	3.3
A	85	1.384	0.218	1
aI	90	0.099	-0.823	6.4
a	84	1.312	-0.646	6.6
U	23	-1.411	-0.379	0.4
eU	66	-0.465	-1.341	3.3
a	61	0.654	-0.621	5.2
U	48	-1.295	0.101	0.4
eR	78	-0.732	0.735	1
U	36	-0.494	0.193	4.1
aI	72	-0.262	-0.992	2.9
e	53	-0.847	0.079	2.2
I	73	-1.411	1.247	0.08
I	47	-1.685	1.179	0.09
A	91	0.683	-0.128	4
iA	147	-1.36	1.661	0.5
A	64	0.366	-0.42	2.3
o	78	-0.674	-0.537	1
a	44	-0.212	-0.613	1.4
E	51	-0.71	0.654	1.5
a	165	1.478	-0.63	2.3
aI	117	0.561	0.831	1.3
eR	61	-0.898	-2.182	2.5
A	52	-0.436	0.049	4.1
eh	261	0.438	0.899	2
A	48	0.51	1.52	1.6
oU	146	-0.891	-2.354	1.7
I	38	-1.634	1.386	0.04
A	41	-0.501	0.204	1.9
ehR	70	0.142	0.256	1.8
a	107	0.221	-0.896	2
O	38	-1.064	-1.539	1.1
A	58	0.351	-0.965	1.5
o	180	-0.739	-1.812	2.5
A	77	-1.028	0.092	0.6
aI	73	-0.053	-0.316	1.3
eh	130	0.77	0.357	3.3
i	78	-0.645	1.1	1.1
aI	98	-0.703	1.424	1.1
aI	65	0.07	-0.395	3.9
A	37	0.301	-1.191	4.1
a	45	0.257	-0.842	2.3
e	56	-0.58	-0.589	3.5
U	102	-1.1	-1.877	1
E	30	-1.035	0.877	0.4
A	62	0.084	-1.019	3.9
A	61	-0.046	-0.265	3.9
O	40	-0.732	-1.422	2.9
Ia	124	0.467	0.19	2.6
a	121	2.799	-0.349	0.8
a	101	1.615	0.051	3.2
i	56	-0.407	1.435	1.4
a	57	0.351	-0.017	4.3
a	65	0.149	-0.333	4.6
A	53	-0.905	0.043	1.3
e	48	-0.717	-0.085	1.4
aI	59	0.062	0.027	3.5
E	61	-0.696	0.629	2
a	186	1.499	-0.491	5
eh	566	0.597	0.7	2.5
uA	74	-1.028	-1.695	0.4
U	24	-1.346	-0.965	0.2
Ia	61	0.149	-0.395	3.7
u	56	-1.468	-2.013	0.5
U	45	-1.086	-1.558	1.5
a	90	1.297	-1.163	5.9
U	26	-1.439	-0.158	0.3
I	65	-1.468	1.223	0.1
eI	154	-0.79	1.299	1.5
A	33	-0.985	0.438	1.2
i	41	-1.172	0.446	1
aI	55	-0.342	0.09	3.3
eU	222	-1.165	-2.114	1.6
eU	57	-0.226	-1.24	3.6
a	68	0.748	-1.507	3.7
U	26	-1.439	-0.123	0.5
eI	67	-1.021	0.833	0.6
oh	121	0.135	-1.768	3
i	40	-1.548	1.618	0.1
aI	88	-0.356	0.547	2.7
e	43	-0.551	-0.294	2.5
aI	97	0.568	-0.019	4.7
eh	596	0.431	0.907	2.2
I	29	-1.447	0.724	0.2
O	58	-1.013	-1.975	0.6
iA	153	-1.396	1.048	1.2
i	70	-1.36	0.95	0.3
O	62	-0.941	-1.755	0.8
Ia	199	-1.259	1.147	0.1
eh	360	0.055	0.61	1.3
aI	75	-0.544	1.414	1
e	25	-0.696	0.28	1.7
aI	57	-0.068	1.596	3.5
e	25	-0.58	-0.384	4
O	37	-0.761	-1.842	1.7
A	66	0.568	-0.899	3.5
oh	144	-0.212	-1.61	2.9
A	35	-0.551	-0.807	1
i	85	-0.883	1.947	0.8
a	92	-0.241	1.394	1.3
i	157	-1.346	1.473	0.4
I	68	-1.519	1.449	0.5
aI	102	-0.039	1.947	1.9
uA	72	-0.551	0.515	3.3
eR	121	-0.66	0.801	1.9
A	51	-0.024	0.152	1.6
eh	408	0.467	0.692	1.4
aI	76	0.019	-0.131	2.1
a	162	0.972	-0.019	4.3
A	67	1.521	-0.401	2.2
aI	43	-0.183	1.422	1.8
o	43	-0.811	-0.706	1.7
A	70	0.2	-0.278	4
U	45	-1.288	-0.728	0.05
U	220	-1.295	-2.381	0.6
eh	93	0.322	0.242	2.6
aI	108	0.207	0.4	1.4
A	86	-0.522	0.022	2.1
aI	106	-0.01	1.008	1.3
eR	110	-1.107	0.831	1
A	48	-2.335	0.076	0.03
aI	131	0.488	0.259	0.5
aI	224	-0.45	0.569	1.9
eh	85	0.156	0.634	2.3
I	78	-1.244	1.187	0.2
eh	103	0.893	0.588	3.1
eR	84	-0.486	0.953	3.5
A	37	-0.479	0.318	2.6
aI	45	-0.169	-0.324	1.8
A	26	-0.299	-1.558	1.4
a	44	-0.284	-1.093	1
e	26	-0.761	-1.561	1.4
I	23	-1.389	0.79	0.2
aI	125	-0.703	0.735	0.6
E	39	-0.912	0.547	1.1
oI	47	-0.855	0.673	0.9
O	40	-0.999	-1.093	0.7
I	54	-1.519	0.918	0.06
U	37	-1.447	-1.654	0.3
u	92	-1.237	-1.588	0.8
A	54	-0.84	-0.703	0.8
i	483	-1.75	1.607	0.03
aI	125	-0.089	0.999	0.8
e	19	-0.826	0.19	1.2
aI	57	-0.19	0.752	1.8
E	42	-0.79	0.651	1.8
a	77	0.647	0.215	2.1
Ia	75	-0.32	-0.245	3.1
u	65	-1.497	-1.866	0.2
