vowel F1(Hz) F2(Hz) F3(Hz) rateF2(Hz/ms) f0Median(Hz) Baseline(Hz) SpectEmph(dB) 
I 449 1360 1753 1.1 149 143 26.4 
eR 476 1594 1829 -2.5 146 141 34.1 
U 446 1257 1805 -11.7 143 142 33.8 
O 510 1104 1429 2.3 147 140 35.3 
e 496 1233 1638 -2.4 124 117 29.4 
aI 564 1465 1832 7.9 132 132 41.3 
A 705 1193 2073 11.5 126 123 30.4 
a 715 1237 2055 3.2 126 124 38.2 
e 507 1501 1865 0.2 127 125 35.9 
U 483 1002 1927 -5.5 122 121 25.3 
E 432 1657 1720 --undefined-- 137 122 25.8 
aU 603 1066 1965 -5.9 123 116 33.2 
U 414 800 2105 -1.6 131 129 37.2 
E 508 1366 1690 --undefined-- 129 128 40.7 
aU 574 1132 1770 -2.5 126 122 33.9 
A 559 1396 1786 -5.2 123 121 28.3 
Ia 671 1537 1869 10.6 126 124 32.8 
i 379 1098 1951 -15.2 150 148 21.6 
a 599 1664 1939 3.2 152 148 31.9 
i 398 1567 2158 5.9 195 171 32.8 
eh 535 1690 1879 5.4 121 112 46.3 
a 694 1367 1998 1.4 159 153 28.0 
E 480 1567 1915 -4.0 182 154 23.6 
a 651 1379 1942 -2.4 126 122 34.8 
A 535 1391 1680 -1.9 154 142 30.8 
O 518 1040 1743 -1.3 135 132 33.9 
e 482 1599 1804 -2.6 144 129 32.6 
aI 515 1700 1948 1.5 143 126 37.9 
e 506 1846 2071 -2.2 146 114 43.2 
eU 591 1119 1768 -11.2 138 136 25.7 
a 670 1179 1878 4.0 138 135 33.9 
U 454 1578 1858 2.0 142 140 30.2 
I 408 1881 2111 2.1 121 119 29.1 
eI 451 2021 2156 7.8 146 130 31.7 
U 501 1067 1830 -10.0 137 128 28.1 
oh 612 884 1921 -4.3 156 138 38.0 
eh 522 1764 1826 0.08 111 107 48.3 
i 359 1980 2024 4.2 169 168 25.6 
I 374 1947 2058 2.0 181 178 22.8 
eR 461 1568 1722 -2.5 97 92 41.4 
eh 537 1649 1841 6.7 109 95 37.2 
oh 599 900 1865 -2.5 133 130 39.5 
i 402 1711 2017 -0.4 130 128 24.3 
A 704 1380 1912 -7.7 125 119 39.5 
A 546 1443 1810 5.8 124 121 33.4 
A 462 1400 1602 -6.6 111 110 31.6 
U 448 1076 1554 -5.1 115 115 24.3 
a 656 1191 2062 1.9 112 112 38.2 
U 440 1571 2255 12.0 113 113 25.3 
I 405 1936 2194 -1.1 126 125 29.0 
eI 383 1678 1992 0.4 95 83 41.7 
a 695 1359 1839 2.5 141 127 29.2 
i 480 1710 1882 4.8 138 137 29.2 
O 553 1052 1994 --undefined-- 139 138 35.2 
e 476 1645 1888 7.4 149 137 27.1 
a 691 1222 2089 -6.7 133 125 37.4 
e 524 1379 1644 3.7 127 122 29.7 
a 717 1232 2008 2.2 108 98 36.9 
O 489 946 2114 -1.4 117 117 39.5 
e 456 1615 1845 -0.5 123 122 33.0 
a 706 1249 2069 2.8 116 113 33.7 
I 394 1830 2038 8.0 126 126 24.0 
O 512 872 2033 -3.5 121 114 27.4 
Ia 422 1720 1997 1.9 187 156 33.2 
Ie 418 1873 2014 2.4 133 129 48.2 
O 520 1011 1571 4.3 162 150 29.8 
e 502 1641 1801 3.5 166 162 32.8 
aI 494 1653 1967 8.6 161 154 37.4 
e 473 1773 2032 4.0 158 149 35.1 
O 506 902 1838 1.0 146 141 29.2 
A 641 1201 2016 5.3 142 139 38.1 
oh 582 982 1800 -6.5 164 143 36.3 
Ia 561 1536 1751 26.0 123 106 39.2 
i 419 1892 2049 -1.3 128 121 37.0 
a 811 1244 2419 -4.0 138 136 26.7 
eh 572 1669 1854 1.6 138 137 48.8 
a 685 1315 2054 2.2 138 134 26.5 
A 721 1302 2060 -4.3 120 102 31.6 
oh 609 1044 2046 -7.0 128 126 33.1 
A 581 1298 1723 -5.7 135 131 34.4 
e 407 1929 2073 4.8 129 128 40.8 
Io 445 1401 1941 -3.7 136 135 33.0 
I 363 1706 2025 1.8 151 149 29.4 
e 419 1474 2009 -0.3 109 101 36.9 
A 538 1607 1698 -3.3 97 96 55.9 
i 392 1923 2079 -4.0 119 100 40.6 
eh 502 1731 1876 1.8 133 113 31.7 
i 444 1196 2144 -12.5 136 130 26.7 
aI 439 1917 1959 -6.9 138 137 30.7 
O 572 1018 1976 6.5 144 142 31.2 
e 477 1563 1854 -3.9 158 131 28.7 
aI 450 1796 1951 9.7 137 130 37.5 
e 412 1769 1993 5.2 124 111 47.1 
eh 564 1707 1764 -1.0 112 112 41.4 
Uo 448 799 2209 -9.5 137 128 35.2 
a 718 1217 2430 3.3 126 122 35.3 
eh 496 1429 1680 -2.6 122 119 31.2 
A 596 1392 1941 8.2 128 123 34.8 
A 483 1260 1623 -4.2 128 127 32.5 
O 549 1014 1283 3.7 124 121 36.3 
e 464 1448 1917 -4.0 127 124 30.0 
aI 517 1690 2037 9.4 120 116 32.4 
e 384 1852 2044 -1.0 119 117 39.0 
a 662 1403 1547 -5.9 110 97 32.8 
a 725 1191 1610 -1.4 104 92 58.5 
a 741 1391 1905 0.5 111 107 33.4 
E 468 1743 1973 1.1 127 97 34.9 
eh 590 1697 1931 6.5 124 122 34.6 
oh 581 1040 2112 1.8 131 130 33.8 
A 408 1416 1804 -0.9 132 131 26.7 
I 372 2015 2026 3.8 178 176 20.6 
A 523 1165 1535 -1.2 248 245 25.6 
A 434 1449 1528 0.8 214 211 33.2 
i 462 1846 2038 -2.4 144 142 27.1 
a 448 1925 2096 -0.4 149 145 27.1 
i 348 1914 2091 -7.2 169 162 27.1 
i 482 1903 2035 4.5 143 140 27.5 
a 453 1863 2052 1.1 152 145 29.1 
i 395 1637 2139 -8.2 185 174 26.4 
a 691 1209 1847 2.8 136 136 27.6 
eR 489 1617 1819 3.5 185 161 29.0 
U 427 892 1985 -6.3 144 111 32.2 
O 528 970 1756 0.6 133 130 39.6 
e 473 1508 1890 -6.8 148 146 37.1 
aI 455 1691 2059 7.5 146 141 32.8 
o 462 652 2434 -4.9 143 136 37.1 
U 449 804 2112 -8.0 116 112 32.7 
eh 511 1682 1996 2.8 112 111 32.2 
U 473 978 2000 -9.0 112 111 26.2 
eh 515 1617 1775 4.2 125 122 49.3 
o 423 755 2145 -5.7 138 126 35.5 
U 419 1176 1618 4.6 167 161 22.4 
eh 504 1725 1940 -2.7 117 106 35.0 
a 744 1362 1705 4.2 138 137 39.0 
i 493 1714 1954 2.2 140 140 32.7 
O 517 1081 1834 -0.5 153 146 31.3 
e 388 1783 1912 -1.1 173 172 40.0 
i 364 1844 2090 3.3 175 173 24.2 
aI 492 1788 1963 -1.4 182 170 35.0 
eR 479 1621 1832 13.2 154 139 30.7 
A 488 1437 1703 -1.1 150 149 30.3 
I 384 1461 2333 12.3 186 185 25.4 
o 437 665 2321 -3.4 118 109 37.0 
U 467 1050 2360 -8.1 114 --undefined-- 28.6 
O 512 1018 1900 3.8 122 110 30.6 
e 528 1528 1837 -2.9 139 115 39.0 
A 661 1274 2036 0.3 118 115 26.2 
eh 541 1633 1798 7.9 118 116 38.8 
A 600 1272 1717 -1.6 105 95 42.3 
a 781 1277 1943 -0.6 111 106 39.7 
A 588 1345 1631 -2.6 117 115 32.5 
oI 459 1514 1947 -11.4 126 113 49.7 
I 314 1497 2078 3.1 155 149 23.0 
i 418 1816 1953 5.2 146 145 28.8 
aI 463 1820 1862 3.9 156 148 26.6 
eR 464 1644 1964 -1.5 120 114 35.6 
o 457 748 2353 -12.6 124 104 33.5 
U 424 709 2183 -6.2 209 205 27.0 
Ie 506 1903 2159 8.4 145 141 51.0 
O 511 893 2007 2.9 167 164 21.4 
e 466 1539 2085 -0.5 229 221 26.7 
oh 550 859 2329 -2.5 127 101 36.0 
i 432 727 2111 -37.6 134 132 34.2 
E 436 1745 1983 4.8 155 141 30.0 
oI 483 1548 1931 3.7 161 159 39.5 
U 458 1185 1814 -13.2 152 147 23.5 
o 475 961 1934 -3.5 156 149 28.7 
O 538 1094 1147 --undefined-- 141 138 31.9 
e 558 1457 1758 -5.9 136 --undefined-- 29.2 
aI 564 1487 1874 8.0 129 128 31.0 
A 629 1119 1799 3.3 126 120 39.2 
a 603 1287 1735 2.0 122 120 31.1 
e 493 1111 1729 5.7 --undefined-- --undefined-- --undefined-- 
U 484 885 2051 -5.5 117 115 27.8 
eh 521 1762 2086 13.2 111 94 36.8 
a 697 1358 1678 -1.5 113 108 59.5 
i 471 1375 1907 3.1 115 112 39.1 
E 447 1619 1782 -8.4 134 132 26.0 
oI 461 1320 2056 5.9 132 127 30.9 
U 447 1133 1594 -3.7 131 --undefined-- 27.7 
O 508 1037 1823 -2.2 119 118 38.4 
aI 561 1335 1621 4.4 116 115 32.2 
A 636 1132 1461 -0.2 111 110 38.6 
a 634 1235 1982 -2.1 114 112 38.1 
e 497 1297 1575 -7.2 118 116 28.6 
A 658 1200 1516 3.7 111 110 27.4 
O 477 1209 1832 6.7 119 118 26.2 
I 371 1847 2159 8.5 117 117 33.7 
U 395 605 2239 -4.0 117 114 32.0 
u 473 1020 1763 --undefined-- 118 117 29.8 
A 513 1310 1745 1.2 115 113 34.4 
A 520 1242 1608 0.2 223 199 23.7 
i 391 1800 2055 -2.2 144 144 27.4 
a 450 1849 2121 1.3 148 140 30.3 
i 386 791 2042 8.8 185 172 26.1 
O 490 914 1116 2.6 193 191 25.8 
e 435 1745 1949 8.8 215 212 33.2 
e 448 1706 1857 4.0 176 171 27.7 
A 539 1374 1903 4.8 176 175 30.8 
eR 522 1174 1613 -3.5 168 167 28.8 
a 682 1317 1871 -4.0 161 156 35.2 
Ia 497 1211 1602 -6.3 169 166 32.5 
u 484 789 2085 -9.5 130 125 24.2 
aR 459 1441 1463 -4.0 112 110 33.7 
oI 468 1461 1901 2.1 116 114 30.4 
a 519 1192 1555 1.9 115 112 32.6 
O 459 964 2012 -2.9 112 110 32.6 
U 393 834 2410 -3.9 124 124 29.1 
